DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-16,8008,510,2021,4,16,Abril,12.9,Residencial,58178
2021-04-21,8034,943,2021,4,21,Abril,12.9,Residencial,183240
2021-04-25,8008,591,2021,4,25,Abril,12.9,Residencial,45891
2021-04-22,8031,889,2021,4,22,Abril,12.9,Residencial,124297
2021-04-01,8024,376,2021,4,1,Abril,12.9,Residencial,172511
2021-04-19,8017,1051,2021,4,19,Abril,12.9,Residencial,189170
2021-04-08,8003,1076,2021,4,8,Abril,12.9,Residencial,143133
2021-04-26,8001,455,2021,4,26,Abril,12.9,Residencial,118170
2021-04-07,8034,1377,2021,4,7,Abril,12.9,Residencial,182624
2021-04-19,8008,519,2021,4,19,Abril,12.9,Residencial,57427
2021-04-03,8001,503,2021,4,3,Abril,12.9,Residencial,105179
2021-04-08,8042,8130,2021,4,8,Abril,12.9,Residencial,120004
2021-04-24,8034,974,2021,4,24,Abril,12.9,Residencial,153741
2021-04-01,8014,372,2021,4,1,Abril,12.9,Residencial,168265
2021-04-08,8035,1232,2021,4,8,Abril,12.9,Residencial,96689
2021-04-12,8030,4859,2021,4,12,Abril,12.9,Residencial,227379
2021-04-16,8017,1048,2021,4,16,Abril,12.9,Residencial,190025
2021-04-21,8012,184,2021,4,21,Abril,12.9,Residencial,135836
2021-04-30,8019,676,2021,4,30,Abril,12.9,Residencial,150441
2021-04-14,8040,10750,2021,4,14,Abril,12.9,Residencial,53668
2021-04-18,8034,958,2021,4,18,Abril,12.9,Residencial,169057
2021-04-28,8013,498,2021,4,28,Abril,12.9,Residencial,219133
2021-04-07,8019,603,2021,4,7,Abril,12.9,Residencial,166708
2021-04-25,8023,461,2021,4,25,Abril,12.9,Residencial,128780
2021-04-09,8041,612,2021,4,9,Abril,12.9,Residencial,161412
2021-04-05,8023,514,2021,4,5,Abril,12.9,Residencial,114911
2021-04-09,8002,468,2021,4,9,Abril,12.9,Residencial,105357
2021-04-19,8029,479,2021,4,19,Abril,12.9,Residencial,240731
2021-04-10,8005,551,2021,4,10,Abril,12.9,Residencial,160647
2021-04-28,8003,1152,2021,4,28,Abril,12.9,Residencial,132687
2021-04-09,8032,374,2021,4,9,Abril,12.9,Residencial,164754
2021-04-20,8025,277,2021,4,20,Abril,12.9,Residencial,196871
2021-04-25,8015,380,2021,4,25,Abril,12.9,Residencial,182378
2021-04-14,8042,7222,2021,4,14,Abril,12.9,Residencial,123185
2021-04-07,8027,5293,2021,4,7,Abril,12.9,Residencial,195916
2021-04-09,8022,889,2021,4,9,Abril,12.9,Residencial,136809
2021-04-28,8025,440,2021,4,28,Abril,12.9,Residencial,185594
2021-04-29,8030,7540,2021,4,29,Abril,12.9,Residencial,210551
2021-04-06,8018,440,2021,4,6,Abril,12.9,Residencial,172284
2021-04-16,8029,516,2021,4,16,Abril,12.9,Residencial,245681
2021-04-08,8015,396,2021,4,8,Abril,12.9,Residencial,191683
2021-04-20,8013,439,2021,4,20,Abril,12.9,Residencial,231839
2021-04-06,8030,32043,2021,4,6,Abril,12.9,Residencial,211872
2021-04-16,8031,675,2021,4,16,Abril,12.9,Residencial,130213
2021-04-09,8016,19074,2021,4,9,Abril,12.9,Residencial,159495
2021-04-11,8026,315,2021,4,11,Abril,12.9,Residencial,119975
2021-04-26,8002,485,2021,4,26,Abril,12.9,Residencial,101041
2021-04-04,8024,341,2021,4,4,Abril,12.9,Residencial,160868
2021-04-10,8033,8657,2021,4,10,Abril,12.9,Residencial,73348
2021-04-03,8002,555,2021,4,3,Abril,12.9,Residencial,87222
2021-04-06,8028,1914,2021,4,6,Abril,12.9,Residencial,279198
2021-04-19,8003,1122,2021,4,19,Abril,12.9,Residencial,145347
2021-04-25,8006,426,2021,4,25,Abril,12.9,Residencial,142200
2021-04-06,8001,477,2021,4,6,Abril,12.9,Residencial,114862
2021-04-04,8014,373,2021,4,4,Abril,12.9,Residencial,154720
2021-04-17,8026,302,2021,4,17,Abril,12.9,Residencial,120502
2021-04-21,8039,7428,2021,4,21,Abril,12.9,Residencial,19684
2021-04-25,8036,503,2021,4,25,Abril,12.9,Residencial,80424
2021-04-28,8042,4199,2021,4,28,Abril,12.9,Residencial,117662
2021-04-01,8007,590,2021,4,1,Abril,12.9,Residencial,163226
2021-04-05,8036,678,2021,4,5,Abril,12.9,Residencial,72774
2021-04-26,8032,264,2021,4,26,Abril,12.9,Residencial,155351
2021-04-08,8006,384,2021,4,8,Abril,12.9,Residencial,161073
2021-04-01,8039,7460,2021,4,1,Abril,12.9,Residencial,20381
2021-04-02,8035,1016,2021,4,2,Abril,12.9,Residencial,80508
2021-04-19,8035,1118,2021,4,19,Abril,12.9,Residencial,99214
2021-04-02,8003,387,2021,4,2,Abril,12.9,Residencial,123488
2021-04-27,8019,586,2021,4,27,Abril,12.9,Residencial,158605
2021-04-02,8042,3854,2021,4,2,Abril,12.9,Residencial,106461
2021-04-15,8016,7469,2021,4,15,Abril,12.9,Residencial,156244
2021-04-30,8021,466,2021,4,30,Abril,12.9,Residencial,157706
2021-04-08,8036,801,2021,4,8,Abril,12.9,Residencial,91905
2021-04-07,8021,624,2021,4,7,Abril,12.9,Residencial,180319
2021-04-21,8007,527,2021,4,21,Abril,12.9,Residencial,186946
2021-04-05,8006,326,2021,4,5,Abril,12.9,Residencial,131202
2021-04-20,8028,571,2021,4,20,Abril,12.9,Residencial,293882
2021-04-27,8027,2590,2021,4,27,Abril,12.9,Residencial,186937
2021-04-05,8015,342,2021,4,5,Abril,12.9,Residencial,167851
2021-04-21,8014,339,2021,4,21,Abril,12.9,Residencial,199391
2021-04-15,8022,799,2021,4,15,Abril,12.9,Residencial,134919
2021-04-04,8023,488,2021,4,4,Abril,12.9,Residencial,104271
2021-04-16,8025,438,2021,4,16,Abril,12.9,Residencial,203227
2021-04-20,8018,590,2021,4,20,Abril,12.9,Residencial,171843
2021-04-23,8001,431,2021,4,23,Abril,12.9,Residencial,117129
2021-04-09,8030,6679,2021,4,9,Abril,12.9,Residencial,226991
2021-04-12,8041,611,2021,4,12,Abril,12.9,Residencial,163799
2021-04-11,8010,433,2021,4,11,Abril,12.9,Residencial,48950
2021-04-14,8010,423,2021,4,14,Abril,12.9,Residencial,53173
2021-04-06,8041,680,2021,4,6,Abril,12.9,Residencial,149617
2021-04-03,8032,317,2021,4,3,Abril,12.9,Residencial,130107
2021-04-06,8032,330,2021,4,6,Abril,12.9,Residencial,150269
2021-04-11,8020,356,2021,4,11,Abril,12.9,Residencial,151241
2021-04-26,8028,596,2021,4,26,Abril,12.9,Residencial,285546
2021-04-15,8037,378,2021,4,15,Abril,12.9,Residencial,57050
2021-04-25,8042,2214,2021,4,25,Abril,12.9,Residencial,119866
2021-04-25,8003,1219,2021,4,25,Abril,12.9,Residencial,132197
2021-04-11,8036,625,2021,4,11,Abril,12.9,Residencial,85740
2021-04-21,8024,293,2021,4,21,Abril,12.9,Residencial,213743
2021-04-01,8004,413,2021,4,1,Abril,12.9,Residencial,124439
2021-04-17,8038,593,2021,4,17,Abril,12.9,Residencial,123421
2021-04-06,8002,416,2021,4,6,Abril,12.9,Residencial,97848
2021-04-28,8040,8542,2021,4,28,Abril,12.9,Residencial,55026
2021-04-15,8009,513,2021,4,15,Abril,12.9,Residencial,82416
2021-04-25,8035,871,2021,4,25,Abril,12.9,Residencial,94946
2021-04-26,8030,5499,2021,4,26,Abril,12.9,Residencial,217122
2021-04-01,8038,576,2021,4,1,Abril,12.9,Residencial,114288
2021-04-11,8006,361,2021,4,11,Abril,12.9,Residencial,155559
2021-04-16,8034,1393,2021,4,16,Abril,12.9,Residencial,183414
2021-04-18,8011,410,2021,4,18,Abril,12.9,Residencial,87054
2021-04-13,8031,742,2021,4,13,Abril,12.9,Residencial,128435
2021-04-26,8018,583,2021,4,26,Abril,12.9,Residencial,170725
2021-04-12,8016,56623,2021,4,12,Abril,12.9,Residencial,159879
2021-04-30,8012,256,2021,4,30,Abril,12.9,Residencial,111028
2021-04-27,8021,502,2021,4,27,Abril,12.9,Residencial,172122
2021-04-10,8012,279,2021,4,10,Abril,12.9,Residencial,135677
2021-04-02,8040,7757,2021,4,2,Abril,12.9,Residencial,36096
2021-04-14,8025,438,2021,4,14,Abril,12.9,Residencial,199858
2021-04-27,8007,562,2021,4,27,Abril,12.9,Residencial,179053
2021-04-24,8024,449,2021,4,24,Abril,12.9,Residencial,191275
2021-04-22,8008,648,2021,4,22,Abril,12.9,Residencial,57454
2021-04-12,8022,777,2021,4,12,Abril,12.9,Residencial,138803
2021-04-17,8013,442,2021,4,17,Abril,12.9,Residencial,238350
2021-04-21,8011,304,2021,4,21,Abril,12.9,Residencial,87647
2021-04-13,8005,539,2021,4,13,Abril,12.9,Residencial,164350
2021-04-04,8015,342,2021,4,4,Abril,12.9,Residencial,154182
2021-04-24,8014,416,2021,4,24,Abril,12.9,Residencial,181088
2021-04-03,8028,454,2021,4,3,Abril,12.9,Residencial,233470
2021-04-30,8033,11128,2021,4,30,Abril,12.9,Residencial,60188
2021-04-12,8037,371,2021,4,12,Abril,12.9,Residencial,58731
