DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-04,8039,5830,2021,4,4,Abril,12.9,Serveis,187408
2021-04-01,8011,376,2021,4,1,Abril,12.9,Serveis,84987
2021-04-27,8017,931,2021,4,27,Abril,12.9,Serveis,240450
2021-04-05,8003,363,2021,4,5,Abril,12.9,Serveis,239183
2021-04-28,8010,541,2021,4,28,Abril,12.9,Serveis,91316
2021-04-08,8025,452,2021,4,8,Abril,12.9,Serveis,255093
2021-04-19,8015,401,2021,4,19,Abril,12.9,Serveis,254650
2021-04-12,8001,425,2021,4,12,Abril,12.9,Serveis,181796
2021-04-27,8039,7681,2021,4,27,Abril,12.9,Serveis,195127
2021-04-13,8039,8873,2021,4,13,Abril,12.9,Serveis,235603
2021-04-05,8040,6572,2021,4,5,Abril,12.9,Serveis,439120
2021-04-24,8012,292,2021,4,24,Abril,12.9,Serveis,90091
2021-04-08,8013,467,2021,4,8,Abril,12.9,Serveis,173954
2021-04-25,8026,331,2021,4,25,Abril,12.9,Serveis,48623
2021-04-17,8028,500,2021,4,17,Abril,12.9,Serveis,394500
2021-04-26,8022,757,2021,4,26,Abril,12.9,Serveis,145589
2021-04-12,8011,368,2021,4,12,Abril,12.9,Serveis,92738
2021-04-28,8020,448,2021,4,28,Abril,12.9,Serveis,283570
2021-04-16,8008,510,2021,4,16,Abril,12.9,Serveis,134381
2021-04-21,8034,943,2021,4,21,Abril,12.9,Serveis,322699
2021-04-25,8008,591,2021,4,25,Abril,12.9,Serveis,91150
2021-04-22,8031,889,2021,4,22,Abril,12.9,Serveis,67550
2021-04-01,8024,376,2021,4,1,Abril,12.9,Serveis,111731
2021-04-19,8017,1051,2021,4,19,Abril,12.9,Serveis,241842
2021-04-08,8003,1076,2021,4,8,Abril,12.9,Serveis,284716
2021-04-26,8001,455,2021,4,26,Abril,12.9,Serveis,177950
2021-04-07,8034,1377,2021,4,7,Abril,12.9,Serveis,313629
2021-04-19,8008,519,2021,4,19,Abril,12.9,Serveis,131641
2021-04-03,8001,503,2021,4,3,Abril,12.9,Serveis,151068
2021-04-08,8042,8130,2021,4,8,Abril,12.9,Serveis,146683
2021-04-24,8034,974,2021,4,24,Abril,12.9,Serveis,241465
2021-04-01,8014,372,2021,4,1,Abril,12.9,Serveis,269988
2021-04-08,8035,1232,2021,4,8,Abril,12.9,Serveis,326018
2021-04-12,8030,4859,2021,4,12,Abril,12.9,Serveis,466615
2021-04-16,8017,1048,2021,4,16,Abril,12.9,Serveis,240145
2021-04-21,8012,184,2021,4,21,Abril,12.9,Serveis,105636
2021-04-30,8019,676,2021,4,30,Abril,12.9,Serveis,161168
2021-04-14,8040,10750,2021,4,14,Abril,12.9,Serveis,568933
2021-04-18,8034,958,2021,4,18,Abril,12.9,Serveis,237120
2021-04-28,8013,498,2021,4,28,Abril,12.9,Serveis,178970
2021-04-07,8019,603,2021,4,7,Abril,12.9,Serveis,165373
2021-04-25,8023,461,2021,4,25,Abril,12.9,Serveis,101700
2021-04-09,8041,612,2021,4,9,Abril,12.9,Serveis,92623
2021-04-05,8023,514,2021,4,5,Abril,12.9,Serveis,105456
2021-04-09,8002,468,2021,4,9,Abril,12.9,Serveis,358280
2021-04-19,8029,479,2021,4,19,Abril,12.9,Serveis,273268
2021-04-10,8005,551,2021,4,10,Abril,12.9,Serveis,222869
2021-04-28,8003,1152,2021,4,28,Abril,12.9,Serveis,286013
2021-04-09,8032,374,2021,4,9,Abril,12.9,Serveis,65848
2021-04-20,8025,277,2021,4,20,Abril,12.9,Serveis,254178
2021-04-25,8015,380,2021,4,25,Abril,12.9,Serveis,195881
2021-04-14,8042,7222,2021,4,14,Abril,12.9,Serveis,147381
2021-04-07,8027,5293,2021,4,7,Abril,12.9,Serveis,178374
2021-04-09,8022,889,2021,4,9,Abril,12.9,Serveis,145705
2021-04-28,8025,440,2021,4,28,Abril,12.9,Serveis,257359
2021-04-29,8030,7540,2021,4,29,Abril,12.9,Serveis,463026
2021-04-06,8018,440,2021,4,6,Abril,12.9,Serveis,331775
2021-04-16,8029,516,2021,4,16,Abril,12.9,Serveis,273217
2021-04-08,8015,396,2021,4,8,Abril,12.9,Serveis,254549
2021-04-20,8013,439,2021,4,20,Abril,12.9,Serveis,176002
2021-04-06,8030,32043,2021,4,6,Abril,12.9,Serveis,452992
2021-04-16,8031,675,2021,4,16,Abril,12.9,Serveis,68795
2021-04-09,8016,19074,2021,4,9,Abril,12.9,Serveis,134439
2021-04-11,8026,315,2021,4,11,Abril,12.9,Serveis,48594
2021-04-26,8002,485,2021,4,26,Abril,12.9,Serveis,362531
2021-04-04,8024,341,2021,4,4,Abril,12.9,Serveis,93636
2021-04-10,8033,8657,2021,4,10,Abril,12.9,Serveis,35289
2021-04-03,8002,555,2021,4,3,Abril,12.9,Serveis,322175
2021-04-06,8028,1914,2021,4,6,Abril,12.9,Serveis,474900
2021-04-19,8003,1122,2021,4,19,Abril,12.9,Serveis,276421
2021-04-25,8006,426,2021,4,25,Abril,12.9,Serveis,169184
2021-04-06,8001,477,2021,4,6,Abril,12.9,Serveis,175469
2021-04-04,8014,373,2021,4,4,Abril,12.9,Serveis,210919
2021-04-17,8026,302,2021,4,17,Abril,12.9,Serveis,54348
2021-04-21,8039,7428,2021,4,21,Abril,12.9,Serveis,203741
2021-04-25,8036,503,2021,4,25,Abril,12.9,Serveis,155028
