DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-01,8014,372,2021,4,1,Abril,12.9,Indústria,11133
2021-04-08,8035,1232,2021,4,8,Abril,12.9,Indústria,2803
2021-04-12,8030,4859,2021,4,12,Abril,12.9,Indústria,224489
2021-04-16,8017,1048,2021,4,16,Abril,12.9,Indústria,9629
2021-04-21,8012,184,2021,4,21,Abril,12.9,Indústria,9605
2021-04-30,8019,676,2021,4,30,Abril,12.9,Indústria,26715
2021-04-14,8040,10750,2021,4,14,Abril,12.9,Indústria,358188
2021-04-18,8034,958,2021,4,18,Abril,12.9,Indústria,6432
2021-04-28,8013,498,2021,4,28,Abril,12.9,Indústria,13284
2021-04-07,8019,603,2021,4,7,Abril,12.9,Indústria,30160
2021-04-25,8023,461,2021,4,25,Abril,12.9,Indústria,1780
2021-04-09,8041,612,2021,4,9,Abril,12.9,Indústria,6935
2021-04-05,8023,514,2021,4,5,Abril,12.9,Indústria,1802
2021-04-09,8002,468,2021,4,9,Abril,12.9,Indústria,10800
2021-04-19,8029,479,2021,4,19,Abril,12.9,Indústria,14366
2021-04-10,8005,551,2021,4,10,Abril,12.9,Indústria,11352
2021-04-28,8003,1152,2021,4,28,Abril,12.9,Indústria,12349
2021-04-09,8032,374,2021,4,9,Abril,12.9,Indústria,2515
2021-04-20,8025,277,2021,4,20,Abril,12.9,Indústria,12633
2021-04-25,8015,380,2021,4,25,Abril,12.9,Indústria,7359
2021-04-14,8042,7222,2021,4,14,Abril,12.9,Indústria,2917
2021-04-07,8027,5293,2021,4,7,Abril,12.9,Indústria,5239
2021-04-09,8022,889,2021,4,9,Abril,12.9,Indústria,6783
2021-04-28,8025,440,2021,4,28,Abril,12.9,Indústria,12530
2021-04-29,8030,7540,2021,4,29,Abril,12.9,Indústria,226600
2021-04-06,8018,440,2021,4,6,Abril,12.9,Indústria,50396
2021-04-16,8029,516,2021,4,16,Abril,12.9,Indústria,14068
