"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"08017","656","720","157","105","710","404","1168","41","167","05-12-2021 11:00:05"
"08018","699","802","143","147","803","408","1270","21","210","05-12-2021 11:00:05"
"08019","856","998","222","151","1077","404","1403","58","393","05-12-2021 11:00:05"
"08020","641","709","150","118","786","296","1099","26","225","05-12-2021 11:00:05"
"08021","662","800","167","138","789","368","1228","26","208","05-12-2021 11:00:05"
"08022","567","641","122","107","662","317","1025","19","164","05-12-2021 11:00:05"
"08023","650","736","184","130","793","279","1108","32","246","05-12-2021 11:00:05"
"08024","607","744","145","124","743","339","1131","35","185","05-12-2021 11:00:05"
"08025","534","692","155","118","675","278","952","43","231","05-12-2021 11:00:05"
"08026","624","734","173","126","731","328","1142","37","179","05-12-2021 11:00:05"
"08027","696","710","193","103","741","369","1256","41","109","05-12-2021 11:00:05"
"08028","486","582","116","70","544","338","943","21","104","05-12-2021 11:00:05"
"08029","693","794","198","173","821","295","1305","27","155","05-12-2021 11:00:05"
"08030","695","760","202","142","807","304","1177","43","235","05-12-2021 11:00:05"
"08031","584","673","143","117","618","379","1087","21","149","05-12-2021 11:00:05"
"08032","588","691","142","100","681","356","1087","27","165","05-12-2021 11:00:05"
"08033","704","782","192","150","821","323","1186","40","260","05-12-2021 11:00:05"
"08034","526","698","144","107","661","312","934","16","274","05-12-2021 11:00:05"
"08035","2452","2100","437","436","3169","510","1811","125","2616","05-12-2021 11:00:05"
"08036","690","836","190","140","874","322","1171","31","324","05-12-2021 11:00:05"
"08037","690","851","177","140","844","380","1228","24","289","05-12-2021 11:00:05"
"08038","738","877","212","177","941","285","1200","25","390","05-12-2021 11:00:05"
"08039","748","814","201","141","870","350","1211","32","319","05-12-2021 11:00:05"
"08040","880","1021","306","185","1106","304","1521","27","353","05-12-2021 11:00:05"
"08041","1237","1283","450","306","1475","289","1611","50","859","05-12-2021 11:00:05"
"08042","536","691","129","93","592","413","1076","8","143","05-12-2021 11:00:05"
"08043","490","642","120","120","591","301","1015","12","105","05-12-2021 11:00:05"
"08044","635","706","181","127","792","241","998","33","310","05-12-2021 11:00:05"
"08045","852","907","231","188","1049","291","1250","58","451","05-12-2021 11:00:05"
"08046","663","801","180","137","854","293","1138","27","299","05-12-2021 11:00:05"
"08047","760","894","249","179","933","293","1154","41","459","05-12-2021 11:00:05"
"08048","463","514","125","94","530","228","876","9","92","05-12-2021 11:00:05"
"08049","571","656","154","122","689","262","1094","22","111","05-12-2021 11:00:05"
"08050","653","735","147","98","671","472","1278","31","79","05-12-2021 11:00:05"
"08051","642","700","203","148","721","270","1241","13","88","05-12-2021 11:00:05"
"08052","401","492","103","64","476","250","795","16","82","05-12-2021 11:00:05"
"08053","516","608","125","102","520","377","1037","21","66","05-12-2021 11:00:05"
"08054","723","878","141","155","785","520","1454","30","117","05-12-2021 11:00:05"
"08055","842","955","187","146","758","706","1694","29","74","05-12-2021 11:00:05"
"08056","710","771","160","138","805","378","1294","17","170","05-12-2021 11:00:05"
"08057","608","717","135","135","695","360","1146","27","152","05-12-2021 11:00:05"
"08058","754","870","169","160","924","371","1386","31","207","05-12-2021 11:00:05"
"08059","471","527","112","92","558","236","888","14","96","05-12-2021 11:00:05"
"08060","537","646","125","90","585","383","1106","14","63","05-12-2021 11:00:05"
"08061","797","849","192","159","859","436","1526","18","102","05-12-2021 11:00:05"
"08062","532","594","84","102","557","383","1075","11","40","05-12-2021 11:00:05"
"08063","507","556","82","79","466","436","1002","8","53","05-12-2021 11:00:05"
"08064","859","942","224","172","967","438","1623","23","155","05-12-2021 11:00:05"
"08065","899","870","309","233","1006","221","1346","61","362","05-12-2021 11:00:05"
"08066","766","809","263","195","893","224","1254","30","291","05-12-2021 11:00:05"
"08067","890","947","250","223","1036","328","1442","47","348","05-12-2021 11:00:05"
"08068","907","986","288","198","1057","350","1417","31","445","05-12-2021 11:00:05"
"08069","754","810","214","161","893","296","1164","40","360","05-12-2021 11:00:05"
"08070","710","772","238","152","823","269","1114","33","335","05-12-2021 11:00:05"
"08071","834","889","221","189","968","345","1371","21","331","05-12-2021 11:00:05"
"08072","547","643","150","124","610","306","984","30","176","05-12-2021 11:00:05"
"08073","832","913","228","181","1056","280","1198","49","498","05-12-2021 11:00:05"
"08074","743","785","244","178","862","244","1095","42","391","05-12-2021 11:00:05"
"08075","859","1028","232","196","1062","397","1423","45","419","05-12-2021 11:00:05"
"08076","714","878","197","116","834","445","1299","36","257","05-12-2021 11:00:05"
